,Date,POE City,POE State,Encounters
0,2019-01-01,NEW YORK,NY,405273.0
1,2019-01-01,MIAMI,FL,432014.0
2,2019-01-01,LOS ANGELES,CA,361859.0
3,2019-01-01,SAN FRANCISCO,CA,178474.0
4,2019-01-01,HONOLULU,HI,189108.0
5,2019-01-01,NEWARK,NJ,120601.0
6,2019-01-01,ORLANDO,FL,138840.0
7,2019-01-01,CHICAGO,IL,104782.0
8,2019-01-01,AGANA,GU,135618.0
9,2019-01-01,FT. LAUDERDALE,FL,88731.0
10,2019-01-01,ATLANTA,GA,87322.0
11,2019-01-01,WASHINGTON,DC,67004.0
12,2019-01-01,BOSTON,MA,64916.0
13,2019-01-01,HOUSTON,TX,70334.0
14,2019-01-01,DALLAS,TX,66899.0
15,2019-01-01,SEATTLE,WA,45515.0
16,2019-01-01,LAS VEGAS,NV,47404.0
17,2019-01-01,DETROIT,MI,40184.0
18,2019-01-01,BLAINE,WA,17198.0
19,2019-01-01,PHILADELPHIA,PA,18194.0
20,2019-01-01,MINN./ST. PAUL,MN,11236.0
21,2019-01-01,TAMPA,FL,9541.0
22,2019-01-01,NIAGARA FALLS,NY,4323.0
23,2019-01-01,SAN DIEGO,CA,9537.0
24,2019-01-01,SAN JUAN,PR,8519.0
25,2019-01-01,SANFORD,FL,2007.0
26,2019-01-01,PEACE BRIDGE,NY,4252.0
27,2019-01-01,CHAMPLAIN,NY,3206.0
28,2019-01-01,PHOENIX,AZ,6447.0
29,2019-01-01,PT HURON,MI,2038.0
30,2019-02-01,NEW YORK,NY,383262.0
31,2019-02-01,MIAMI,FL,407542.0
32,2019-02-01,LOS ANGELES,CA,301586.0
33,2019-02-01,SAN FRANCISCO,CA,163935.0
34,2019-02-01,HONOLULU,HI,173100.0
35,2019-02-01,NEWARK,NJ,117367.0
36,2019-02-01,ORLANDO,FL,130118.0
37,2019-02-01,CHICAGO,IL,76804.0
38,2019-02-01,AGANA,GU,124537.0
39,2019-02-01,FT. LAUDERDALE,FL,85895.0
40,2019-02-01,ATLANTA,GA,77561.0
41,2019-02-01,WASHINGTON,DC,54296.0
42,2019-02-01,BOSTON,MA,46257.0
43,2019-02-01,HOUSTON,TX,64537.0
44,2019-02-01,DALLAS,TX,53858.0
45,2019-02-01,SEATTLE,WA,37114.0
46,2019-02-01,LAS VEGAS,NV,34222.0
47,2019-02-01,DETROIT,MI,27403.0
48,2019-02-01,BLAINE,WA,18757.0
49,2019-02-01,PHILADELPHIA,PA,15340.0
50,2019-02-01,MINN./ST. PAUL,MN,10006.0
51,2019-02-01,TAMPA,FL,11192.0
52,2019-02-01,NIAGARA FALLS,NY,5864.0
53,2019-02-01,SAN DIEGO,CA,8861.0
54,2019-02-01,SAN JUAN,PR,7633.0
55,2019-02-01,SANFORD,FL,2179.0
56,2019-02-01,PEACE BRIDGE,NY,4157.0
57,2019-02-01,CHAMPLAIN,NY,3175.0
58,2019-02-01,PHOENIX,AZ,5767.0
59,2019-02-01,PT HURON,MI,2081.0
60,2019-03-01,NEW YORK,NY,475892.0
61,2019-03-01,MIAMI,FL,409640.0
62,2019-03-01,LOS ANGELES,CA,316188.0
63,2019-03-01,SAN FRANCISCO,CA,168577.0
64,2019-03-01,HONOLULU,HI,176214.0
65,2019-03-01,NEWARK,NJ,139703.0
66,2019-03-01,ORLANDO,FL,126036.0
67,2019-03-01,CHICAGO,IL,100902.0
68,2019-03-01,AGANA,GU,130419.0
69,2019-03-01,FT. LAUDERDALE,FL,92343.0
70,2019-03-01,ATLANTA,GA,87243.0
71,2019-03-01,WASHINGTON,DC,70847.0
72,2019-03-01,BOSTON,MA,65980.0
73,2019-03-01,HOUSTON,TX,76863.0
74,2019-03-01,DALLAS,TX,58440.0
75,2019-03-01,SEATTLE,WA,40300.0
76,2019-03-01,LAS VEGAS,NV,38695.0
77,2019-03-01,DETROIT,MI,35072.0
78,2019-03-01,BLAINE,WA,23185.0
79,2019-03-01,PHILADELPHIA,PA,18028.0
80,2019-03-01,MINN./ST. PAUL,MN,10948.0
81,2019-03-01,TAMPA,FL,11414.0
82,2019-03-01,NIAGARA FALLS,NY,7761.0
83,2019-03-01,SAN DIEGO,CA,10001.0
84,2019-03-01,SAN JUAN,PR,9185.0
85,2019-03-01,SANFORD,FL,3768.0
86,2019-03-01,PEACE BRIDGE,NY,5346.0
87,2019-03-01,CHAMPLAIN,NY,4942.0
88,2019-03-01,PHOENIX,AZ,5992.0
89,2019-03-01,PT HURON,MI,3019.0
90,2019-04-01,NEW YORK,NY,638756.0
91,2019-04-01,MIAMI,FL,452768.0
92,2019-04-01,LOS ANGELES,CA,387365.0
93,2019-04-01,SAN FRANCISCO,CA,213577.0
94,2019-04-01,HONOLULU,HI,174468.0
95,2019-04-01,NEWARK,NJ,192836.0
96,2019-04-01,ORLANDO,FL,183912.0
97,2019-04-01,CHICAGO,IL,145417.0
98,2019-04-01,AGANA,GU,107371.0
99,2019-04-01,FT. LAUDERDALE,FL,105829.0
100,2019-04-01,ATLANTA,GA,108874.0
101,2019-04-01,WASHINGTON,DC,96803.0
102,2019-04-01,BOSTON,MA,89241.0
103,2019-04-01,HOUSTON,TX,90523.0
104,2019-04-01,DALLAS,TX,69114.0
105,2019-04-01,SEATTLE,WA,51077.0
106,2019-04-01,LAS VEGAS,NV,46729.0
107,2019-04-01,DETROIT,MI,40655.0
108,2019-04-01,BLAINE,WA,24522.0
109,2019-04-01,PHILADELPHIA,PA,30611.0
110,2019-04-01,MINN./ST. PAUL,MN,14911.0
111,2019-04-01,TAMPA,FL,17963.0
112,2019-04-01,NIAGARA FALLS,NY,11828.0
113,2019-04-01,SAN DIEGO,CA,10262.0
114,2019-04-01,SAN JUAN,PR,11410.0
115,2019-04-01,SANFORD,FL,11265.0
116,2019-04-01,PEACE BRIDGE,NY,7652.0
117,2019-04-01,CHAMPLAIN,NY,7099.0
118,2019-04-01,PHOENIX,AZ,8156.0
119,2019-04-01,PT HURON,MI,5197.0
120,2019-05-01,NEW YORK,NY,631980.0
121,2019-05-01,MIAMI,FL,376778.0
122,2019-05-01,LOS ANGELES,CA,380289.0
123,2019-05-01,SAN FRANCISCO,CA,233047.0
124,2019-05-01,HONOLULU,HI,174973.0
125,2019-05-01,NEWARK,NJ,178368.0
126,2019-05-01,ORLANDO,FL,160253.0
127,2019-05-01,CHICAGO,IL,169727.0
128,2019-05-01,AGANA,GU,105101.0
129,2019-05-01,FT. LAUDERDALE,FL,93501.0
130,2019-05-01,ATLANTA,GA,105258.0
131,2019-05-01,WASHINGTON,DC,103036.0
132,2019-05-01,BOSTON,MA,104440.0
133,2019-05-01,HOUSTON,TX,87214.0
134,2019-05-01,DALLAS,TX,74494.0
135,2019-05-01,SEATTLE,WA,63844.0
136,2019-05-01,LAS VEGAS,NV,48244.0
137,2019-05-01,DETROIT,MI,42971.0
138,2019-05-01,BLAINE,WA,28294.0
139,2019-05-01,PHILADELPHIA,PA,26784.0
140,2019-05-01,MINN./ST. PAUL,MN,15873.0
141,2019-05-01,TAMPA,FL,12207.0
142,2019-05-01,NIAGARA FALLS,NY,17328.0
143,2019-05-01,SAN DIEGO,CA,9574.0
144,2019-05-01,SAN JUAN,PR,8413.0
145,2019-05-01,SANFORD,FL,15062.0
146,2019-05-01,PEACE BRIDGE,NY,8709.0
147,2019-05-01,CHAMPLAIN,NY,7128.0
148,2019-05-01,PHOENIX,AZ,7149.0
149,2019-05-01,PT HURON,MI,6014.0
150,2019-06-01,NEW YORK,NY,610885.0
151,2019-06-01,MIAMI,FL,357353.0
152,2019-06-01,LOS ANGELES,CA,396005.0
153,2019-06-01,SAN FRANCISCO,CA,232742.0
154,2019-06-01,HONOLULU,HI,186162.0
155,2019-06-01,NEWARK,NJ,171288.0
156,2019-06-01,ORLANDO,FL,147454.0
157,2019-06-01,CHICAGO,IL,154950.0
158,2019-06-01,AGANA,GU,107217.0
159,2019-06-01,FT. LAUDERDALE,FL,93402.0
160,2019-06-01,ATLANTA,GA,90430.0
161,2019-06-01,WASHINGTON,DC,100541.0
162,2019-06-01,BOSTON,MA,108745.0
163,2019-06-01,HOUSTON,TX,75597.0
164,2019-06-01,DALLAS,TX,66487.0
165,2019-06-01,SEATTLE,WA,74993.0
166,2019-06-01,LAS VEGAS,NV,50722.0
167,2019-06-01,DETROIT,MI,42322.0
168,2019-06-01,BLAINE,WA,31615.0
169,2019-06-01,PHILADELPHIA,PA,28416.0
170,2019-06-01,MINN./ST. PAUL,MN,17352.0
171,2019-06-01,TAMPA,FL,11228.0
172,2019-06-01,NIAGARA FALLS,NY,20355.0
173,2019-06-01,SAN DIEGO,CA,9909.0
174,2019-06-01,SAN JUAN,PR,8168.0
175,2019-06-01,SANFORD,FL,13384.0
176,2019-06-01,PEACE BRIDGE,NY,10524.0
177,2019-06-01,CHAMPLAIN,NY,10203.0
178,2019-06-01,PHOENIX,AZ,5914.0
179,2019-06-01,PT HURON,MI,5086.0
180,2019-07-01,NEW YORK,NY,3822002.0
181,2019-07-01,MIAMI,FL,2858467.0
182,2019-07-01,LOS ANGELES,CA,2586717.0
183,2019-07-01,SAN FRANCISCO,CA,1447080.0
184,2019-07-01,HONOLULU,HI,1274391.0
185,2019-07-01,NEWARK,NJ,1105313.0
186,2019-07-01,ORLANDO,FL,1081294.0
187,2019-07-01,CHICAGO,IL,918813.0
188,2019-07-01,AGANA,GU,831831.0
189,2019-07-01,FT. LAUDERDALE,FL,696954.0
190,2019-07-01,ATLANTA,GA,661805.0
191,2019-07-01,WASHINGTON,DC,612743.0
192,2019-07-01,BOSTON,MA,602222.0
193,2019-07-01,HOUSTON,TX,548171.0
194,2019-07-01,DALLAS,TX,467306.0
195,2019-07-01,SEATTLE,WA,400145.0
196,2019-07-01,LAS VEGAS,NV,325617.0
197,2019-07-01,DETROIT,MI,279065.0
198,2019-07-01,BLAINE,WA,181495.0
199,2019-07-01,PHILADELPHIA,PA,174943.0
200,2019-07-01,MINN./ST. PAUL,MN,104986.0
201,2019-07-01,TAMPA,FL,90635.0
202,2019-07-01,NIAGARA FALLS,NY,93367.0
203,2019-07-01,SAN DIEGO,CA,70492.0
204,2019-07-01,SAN JUAN,PR,62642.0
205,2019-07-01,SANFORD,FL,62998.0
206,2019-07-01,PEACE BRIDGE,NY,55150.0
207,2019-07-01,CHAMPLAIN,NY,50137.0
208,2019-07-01,PHOENIX,AZ,45598.0
209,2019-07-01,PT HURON,MI,45166.0
210,2018-01-01,NEW YORK,NY,381187.0
211,2018-01-01,MIAMI,FL,405807.0
212,2018-01-01,LOS ANGELES,CA,336045.0
213,2018-01-01,SAN FRANCISCO,CA,159180.0
214,2018-01-01,HONOLULU,HI,182084.0
215,2018-01-01,NEWARK,NJ,117205.0
216,2018-01-01,ORLANDO,FL,121800.0
217,2018-01-01,CHICAGO,IL,116361.0
218,2018-01-01,AGANA,GU,117144.0
219,2018-01-01,FT. LAUDERDALE,FL,91545.0
220,2018-01-01,ATLANTA,GA,87707.0
221,2018-01-01,WASHINGTON,DC,71839.0
222,2018-01-01,BOSTON,MA,63350.0
223,2018-01-01,HOUSTON,TX,69807.0
224,2018-01-01,DALLAS,TX,68783.0
225,2018-01-01,SEATTLE,WA,48598.0
226,2018-01-01,LAS VEGAS,NV,41385.0
227,2018-01-01,DETROIT,MI,40349.0
228,2018-01-01,PHILADELPHIA,PA,20236.0
229,2018-01-01,BLAINE,WA,12349.0
230,2018-01-01,MINN./ST. PAUL,MN,11639.0
231,2018-01-01,TAMPA,FL,8827.0
232,2018-01-01,SAN DIEGO,CA,8307.0
233,2018-01-01,NIAGARA FALLS,NY,3391.0
234,2018-01-01,SANFORD,FL,2058.0
235,2018-01-01,PEACE BRIDGE,NY,3589.0
236,2018-01-01,SAN JUAN,PR,5995.0
237,2018-01-01,CHAMPLAIN,NY,3079.0
238,2018-01-01,PHOENIX,AZ,6639.0
239,2018-01-01,PORTLAND,OR,4005.0
240,2018-02-01,NEW YORK,NY,366436.0
241,2018-02-01,MIAMI,FL,388110.0
242,2018-02-01,LOS ANGELES,CA,301101.0
243,2018-02-01,SAN FRANCISCO,CA,150272.0
244,2018-02-01,HONOLULU,HI,185983.0
245,2018-02-01,NEWARK,NJ,115662.0
246,2018-02-01,ORLANDO,FL,111453.0
247,2018-02-01,CHICAGO,IL,78444.0
248,2018-02-01,AGANA,GU,115778.0
249,2018-02-01,FT. LAUDERDALE,FL,83789.0
250,2018-02-01,ATLANTA,GA,74338.0
251,2018-02-01,WASHINGTON,DC,50628.0
252,2018-02-01,BOSTON,MA,45493.0
253,2018-02-01,HOUSTON,TX,63104.0
254,2018-02-01,DALLAS,TX,54256.0
255,2018-02-01,SEATTLE,WA,36840.0
256,2018-02-01,LAS VEGAS,NV,32450.0
257,2018-02-01,DETROIT,MI,27813.0
258,2018-02-01,PHILADELPHIA,PA,16719.0
259,2018-02-01,BLAINE,WA,17218.0
260,2018-02-01,MINN./ST. PAUL,MN,11687.0
261,2018-02-01,TAMPA,FL,10600.0
262,2018-02-01,SAN DIEGO,CA,8488.0
263,2018-02-01,NIAGARA FALLS,NY,3298.0
264,2018-02-01,SANFORD,FL,2087.0
265,2018-02-01,PEACE BRIDGE,NY,4007.0
266,2018-02-01,SAN JUAN,PR,6037.0
267,2018-02-01,CHAMPLAIN,NY,2959.0
268,2018-02-01,PHOENIX,AZ,5683.0
269,2018-02-01,PORTLAND,OR,4100.0
270,2018-03-01,NEW YORK,NY,509225.0
271,2018-03-01,MIAMI,FL,437102.0
272,2018-03-01,LOS ANGELES,CA,345565.0
273,2018-03-01,SAN FRANCISCO,CA,169750.0
274,2018-03-01,HONOLULU,HI,185863.0
275,2018-03-01,NEWARK,NJ,155530.0
276,2018-03-01,ORLANDO,FL,133678.0
277,2018-03-01,CHICAGO,IL,117367.0
278,2018-03-01,AGANA,GU,119290.0
279,2018-03-01,FT. LAUDERDALE,FL,100246.0
280,2018-03-01,ATLANTA,GA,95042.0
281,2018-03-01,WASHINGTON,DC,78317.0
282,2018-03-01,BOSTON,MA,69491.0
283,2018-03-01,HOUSTON,TX,81546.0
284,2018-03-01,DALLAS,TX,65321.0
285,2018-03-01,SEATTLE,WA,43855.0
286,2018-03-01,LAS VEGAS,NV,43346.0
287,2018-03-01,DETROIT,MI,35112.0
288,2018-03-01,PHILADELPHIA,PA,24241.0
289,2018-03-01,BLAINE,WA,21087.0
290,2018-03-01,MINN./ST. PAUL,MN,12093.0
291,2018-03-01,TAMPA,FL,12843.0
292,2018-03-01,SAN DIEGO,CA,10565.0
293,2018-03-01,NIAGARA FALLS,NY,5861.0
294,2018-03-01,SANFORD,FL,5363.0
295,2018-03-01,PEACE BRIDGE,NY,7287.0
296,2018-03-01,SAN JUAN,PR,8833.0
